,EquipNr,Maschinenstandort,EquipTyp_Gruppiert,NC_Mittel,Strahl_Mittel,Strahl/NC,type,top_NC_Mittel,top_Strahl_Mittel,top_Strahl/NC
0,A0221E0181,IT,TruLaser 3030 fiber (L49),4368.061458333337,1914.0447916666644,43.81909022857432,fiber,49.15339903967653,41.90042961839777,55.92620672226435
1,A0221E0260,DE,TruLaser 3030 fiber (L49),2201.1679104477616,1110.3626865671645,50.44425194901622,fiber,8.036391205458685,17.94288602476624,19.30755622946677
2,A0221E0262,DE,TruLaser 3030 fiber (L49),4035.572727272728,2972.759090909091,73.66387107383653,fiber,43.366186504927974,70.96285064442759,71.4177407126611
3,A0221E0273,CZ,TruLaser 3030 fiber (L49),3984.4312499999987,2500.421093749997,62.7547807168212,fiber,42.43113469800354,59.31261056355825,61.71341925701289
4,A0221E0275,DE,TruLaser 3030 fiber (L49),3919.9340909090906,1587.3628787878783,40.494631847744806,fiber,41.09173616376043,32.044478140005054,46.42405863027547
5,A0221E0278,IT,TruLaser 3030 fiber (L49),2995.5664062499986,1912.0296874999985,63.82865302237028,fiber,23.629011877685116,41.79934293656811,42.75966641394996
6,A0221E0279,BY,TruLaser 3030 fiber (L49),3613.847619047622,1654.434920634921,45.780428369885826,fiber,34.95072024260804,34.015668435683594,42.60803639120546
7,A0221E0281,BE,TruLaser 3030 fiber (L49),4831.730952380953,675.4238095238086,13.97892010503973,fiber,58.22592873388931,6.722264341672997,58.63027546120799
8,A0221E0282,CZ,TruLaser 3030 fiber (L49),2634.3304687499976,1089.1828125000004,41.34571669805812,fiber,16.729845842810207,17.159464240586303,22.39070002527167
9,A0221E0283,DE,TruLaser 3030 fiber (L49),2555.497727272731,829.8219696969696,32.47202925836953,fiber,15.314632297194848,10.184483194339151,18.195602729340408
10,A0221E0285,DE,TruLaser 3030 fiber (L49),4411.924647887323,2968.735211267604,67.28889199613147,fiber,49.86100581248421,70.88703563305535,72.20116249684105
11,A0221E0287,CN,TruLaser 3030 fiber (L49),4773.367543859653,3771.4105263157853,79.00943079833101,fiber,57.0381602223907,85.79732120293151,86.10058124842053
12,A0221E0289,IT,TruLaser 3030 fiber (L49),6407.270833333338,1951.0770833333324,30.450985046285272,fiber,85.24134445286833,43.012383118524134,86.78291635077079
13,A0221E0290,IT,TruLaser 3030 fiber (L49),4971.828985507249,3447.2398550724674,69.33544707835047,fiber,60.62673742734395,80.23755370229972,81.75385392974476
14,A0221E0291,CZ,TruLaser 3030 fiber (L49),7771.958035714283,5368.302678571429,69.0727182764318,fiber,98.05408137477887,98.63532979529947,99.72201162496842
15,A0221E0294,JP,TruLaser 3030 fiber (L49),2437.133076923076,1301.6461538461533,53.40890762885648,fiber,12.585291887793787,23.325751832196104,24.91786707101339
16,A0221E0295,JP,TruLaser 3030 fiber (L49),2879.5181818181804,914.7674242424245,31.76807252055007,fiber,21.885266616123317,12.180945160475105,24.235531968663125
